time,source,emotion,emotion_confidence,identity,identity_confidence,verified,face_status,faces_detected,result_image
2026-04-15 10:23:35,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102335_786287.jpg
2026-04-15 10:23:37,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102337_992032.jpg
2026-04-15 10:23:40,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102340_769213.jpg
2026-04-15 10:23:42,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102342_991068.jpg
2026-04-15 10:23:45,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102345_004278.jpg
2026-04-15 10:23:47,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102347_008631.jpg
2026-04-15 10:23:49,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102349_265956.jpg
2026-04-15 10:23:51,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102351_509651.jpg
2026-04-15 10:23:54,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102354_751003.jpg
2026-04-15 10:23:56,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102356_877226.jpg
2026-04-15 10:23:58,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102358_896903.jpg
2026-04-15 10:24:00,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102400_945973.jpg
2026-04-15 10:24:03,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102403_149711.jpg
2026-04-15 10:24:05,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102405_291229.jpg
2026-04-15 10:24:07,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102407_302802.jpg
2026-04-15 10:24:11,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102411_452301.jpg
2026-04-15 10:24:13,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102413_622266.jpg
2026-04-15 10:24:15,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102415_654678.jpg
2026-04-15 10:24:17,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102417_677331.jpg
2026-04-15 10:24:19,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102419_848537.jpg
2026-04-15 10:24:21,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102421_849415.jpg
2026-04-15 10:24:25,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102425_089699.jpg
2026-04-15 10:24:27,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102427_232598.jpg
2026-04-15 10:24:29,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102429_310585.jpg
2026-04-15 10:24:31,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102431_451841.jpg
2026-04-15 10:24:33,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102433_758156.jpg
2026-04-15 10:24:35,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102435_765023.jpg
2026-04-15 10:24:37,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102437_862747.jpg
2026-04-15 10:24:41,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102441_273624.jpg
2026-04-15 10:24:43,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102443_294418.jpg
2026-04-15 10:24:45,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102445_433518.jpg
2026-04-15 10:24:47,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102447_636597.jpg
2026-04-15 10:24:49,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102449_912007.jpg
2026-04-15 10:24:52,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102452_073033.jpg
2026-04-15 10:24:55,esp32,uncertain,100.00,unknown,100.00,0,Khong xac nhan duoc danh tinh,1,camera_auto_20260415_102455_439236.jpg
2026-04-15 10:24:57,esp32,uncertain,100.00,unknown,100.00,0,Khong xac nhan duoc danh tinh,1,camera_auto_20260415_102457_756385.jpg
2026-04-15 10:24:59,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102459_809165.jpg
2026-04-15 10:25:01,esp32,no-face,0.00,unknown,0.00,0,Khong phat hien khuon mat,0,camera_auto_20260415_102501_925566.jpg
2026-04-15 10:25:04,esp32,uncertain,100.00,unknown,0.00,0,Khong xac nhan duoc danh tinh,0,camera_auto_20260415_102504_022784.jpg
